MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Jan 1982,75.70°F,78.51°F,79.97°F,82.42°F
Feb 1982,77.68°F,79.27°F,79.77°F,82.38°F
Mar 1982,77.40°F,80.46°F,80.76°F,82.72°F
Apr 1982,76.23°F,81.54°F,82.09°F,83.50°F
May 1982,75.20°F,81.86°F,83.07°F,84.54°F
Jun 1982,73.18°F,80.78°F,83.03°F,85.03°F
Jul 1982,71.73°F,79.05°F,81.63°F,83.77°F
Aug 1982,71.08°F,78.89°F,81.97°F,83.66°F
Sep 1982,71.44°F,79.70°F,82.42°F,84.04°F
Oct 1982,72.81°F,80.67°F,83.30°F,84.40°F
Nov 1982,75.92°F,81.30°F,83.30°F,83.93°F
Dec 1982,78.31°F,82.53°F,83.93°F,83.86°F
Jan 1983,80.28°F,83.07°F,83.66°F,83.53°F
Feb 1983,81.77°F,83.10°F,83.37°F,83.32°F
Mar 1983,83.01°F,83.26°F,83.21°F,83.46°F
Apr 1983,82.58°F,83.77°F,83.28°F,83.28°F
May 1983,82.17°F,83.55°F,83.41°F,84.15°F
Jun 1983,80.96°F,82.56°F,82.69°F,83.80°F
Jul 1983,78.24°F,79.81°F,80.55°F,83.23°F
Aug 1983,74.71°F,78.39°F,79.63°F,82.76°F
Sep 1983,71.89°F,77.38°F,79.48°F,82.51°F
Oct 1983,71.56°F,76.21°F,78.35°F,81.81°F
Nov 1983,71.62°F,75.49°F,77.95°F,81.81°F
Dec 1983,73.31°F,75.90°F,77.88°F,81.46°F
Jan 1984,75.83°F,76.64°F,78.08°F,81.34°F
Feb 1984,77.41°F,79.54°F,79.83°F,81.07°F
Mar 1984,78.30°F,80.38°F,80.08°F,81.18°F
Apr 1984,77.50°F,81.10°F,81.09°F,81.57°F
May 1984,74.19°F,79.48°F,80.94°F,82.29°F
Jun 1984,71.98°F,77.65°F,80.02°F,82.47°F
Jul 1984,70.07°F,77.07°F,79.92°F,83.01°F
Aug 1984,68.50°F,76.35°F,79.45°F,82.47°F
Sep 1984,68.36°F,76.50°F,79.43°F,82.80°F
Oct 1984,68.81°F,75.52°F,78.84°F,82.44°F
Nov 1984,70.56°F,75.47°F,77.94°F,82.26°F
Dec 1984,72.72°F,75.00°F,77.29°F,81.41°F
Jan 1985,74.46°F,75.70°F,77.47°F,81.30°F
Feb 1985,76.62°F,77.43°F,78.46°F,81.55°F
Mar 1985,78.19°F,79.18°F,79.43°F,81.01°F
Apr 1985,75.74°F,79.95°F,80.08°F,81.36°F
May 1985,72.90°F,78.78°F,80.26°F,81.88°F
Jun 1985,71.29°F,77.81°F,79.93°F,82.18°F
Jul 1985,68.83°F,76.51°F,79.70°F,82.49°F
Aug 1985,67.28°F,75.63°F,79.29°F,82.56°F
Sep 1985,66.61°F,75.27°F,78.78°F,82.54°F
Oct 1985,67.57°F,75.40°F,78.85°F,82.60°F
Nov 1985,69.49°F,75.72°F,79.21°F,82.94°F
Dec 1985,72.21°F,75.90°F,78.89°F,82.58°F
Jan 1986,76.10°F,76.64°F,78.51°F,81.86°F
Feb 1986,78.58°F,78.44°F,78.71°F,81.91°F
Mar 1986,78.64°F,80.13°F,79.95°F,82.29°F
Apr 1986,76.68°F,80.67°F,81.12°F,82.09°F
May 1986,74.01°F,79.59°F,81.18°F,83.03°F
Jun 1986,71.89°F,79.07°F,81.28°F,83.48°F
Jul 1986,70.20°F,78.40°F,81.07°F,83.30°F
Aug 1986,69.30°F,77.22°F,80.76°F,83.62°F
Sep 1986,68.85°F,77.54°F,80.89°F,83.89°F
Oct 1986,69.80°F,77.77°F,81.10°F,84.04°F
Nov 1986,70.92°F,78.33°F,81.25°F,84.15°F
Dec 1986,73.33°F,78.55°F,81.45°F,83.55°F
Jan 1987,77.11°F,79.66°F,81.52°F,83.26°F
Feb 1987,80.15°F,80.89°F,81.59°F,83.14°F
Mar 1987,81.57°F,82.33°F,82.62°F,83.66°F
Apr 1987,79.88°F,82.65°F,82.85°F,83.79°F
May 1987,77.81°F,82.09°F,82.76°F,83.93°F
Jun 1987,74.89°F,80.87°F,83.16°F,84.52°F
Jul 1987,72.55°F,80.37°F,83.01°F,84.34°F
Aug 1987,70.84°F,79.30°F,82.58°F,84.27°F
Sep 1987,70.32°F,79.48°F,82.54°F,84.22°F
Oct 1987,71.91°F,78.73°F,81.93°F,84.76°F
