Year,Month,Temperature
1982,1,79.15
1982,2,79.77
1982,3,80.34
1982,4,80.84
1982,5,81.17
1982,6,80.5
1982,7,79.04
1982,8,78.9
1982,9,79.4
1982,10,80.3
1982,11,81.11
1982,12,82.16
1983,1,82.64
1983,2,82.89
1983,3,83.24
1983,4,83.23
1983,5,83.32
1983,6,82.5
1983,7,80.46
1983,8,78.87
1983,9,77.82
1983,10,76.98
1983,11,76.72
1983,12,77.14
1984,1,77.97
1984,2,79.46
1984,3,79.98
1984,4,80.32
1984,5,79.23
1984,6,78.03
1984,7,77.52
1984,8,76.69
1984,9,76.77
1984,10,76.4
1984,11,76.56
1984,12,76.6
1985,1,77.23
1985,2,78.52
1985,3,79.45
1985,4,79.28
1985,5,78.46
1985,6,77.8
1985,7,76.88
1985,8,76.19
1985,9,75.8
1985,10,76.1
1985,11,76.84
1985,12,77.4
1986,1,78.28
1986,2,79.41
1986,3,80.25
1986,4,80.14
1986,5,79.45
1986,6,78.93
1986,7,78.24
1986,8,77.72
1986,9,77.79
1986,10,78.18
1986,11,78.66
1986,12,79.22
1987,1,80.39
1987,2,81.44
1987,3,82.54
1987,4,82.29
1987,5,81.65
1987,6,80.86
1987,7,80.07
1987,8,79.25
1987,9,79.14
1987,10,79.33
1987,11,79.46
1987,12,79.62
1988,1,79.91
1988,2,80.32
1988,3,80.72
1988,4,79.99
1988,5,78.64
1988,6,76.98
1988,7,75.82
1988,8,75.19
1988,9,75.59
1988,10,74.55
1988,11,74.84
1988,12,75.38
1989,1,76.63
1989,2,78.43
1989,3,79.39
1989,4,79.71
1989,5,79.14
1989,6,78.39
1989,7,77.53
1989,8,76.5
1989,9,76.41
1989,10,76.59
1989,11,76.92
1989,12,77.79
1990,1,78.73
1990,2,80.12
1990,3,80.68
1990,4,80.96
1990,5,80.51
1990,6,79.39
1990,7,78.17
1990,8,77.61
1990,9,77.21
1990,10,77.4
1990,11,77.5
1990,12,78.35
1991,1,79.19
1991,2,80.26
1991,3,80.97
1991,4,81.15
1991,5,81.23
1991,6,80.35
1991,7,79.34
1991,8,78.4
1991,9,77.8
1991,10,78.43
1991,11,79.11
1991,12,80.05
1992,1,80.82
1992,2,81.78
1992,3,82.61
1992,4,83.06
1992,5,82.52
1992,6,80.56
1992,7,78.65
1992,8,77.5
1992,9,77.2
1992,10,77.17
1992,11,77.61
1992,12,78.24
1993,1,79.23
1993,2,80.59
1993,3,81.48
1993,4,81.9
1993,5,81.74
1993,6,80.14
1993,7,78.98
1993,8,77.79
1993,9,77.84
1993,10,77.94
1993,11,78.13
1993,12,78.44
1994,1,79.23
1994,2,79.92
1994,3,80.62
1994,4,80.51
1994,5,80.35
1994,6,79.57
1994,7,78.36
1994,8,77.62
1994,9,77.47
1994,10,78.67
1994,11,79.32
1994,12,79.92
1995,1,80.28
1995,2,81.09
1995,3,81.32
1995,4,80.78
1995,5,79.92
1995,6,79.12
1995,7,78.19
1995,8,76.72
1995,9,76.48
1995,10,76.17
1995,11,76.8
1995,12,76.99
1996,1,78.02
1996,2,79.14
1996,3,80.16
1996,4,79.72
1996,5,79.44
1996,6,78.54
1996,7,77.46
1996,8,76.76
1996,9,76.43
1996,10,76.6
1996,11,76.79
1996,12,77.1
1997,1,78.05
1997,2,79.64
1997,3,80.95
1997,4,81.72
1997,5,82.22
1997,6,82.12
1997,7,81.88
1997,8,81.37
1997,9,81.31
1997,10,81.47
1997,11,82.31
1997,12,82.64
1998,1,82.89
1998,2,83.16
1998,3,83.4
1998,4,83.09
1998,5,82.68
1998,6,80.05
1998,7,78.41
1998,8,77.11
1998,9,76.61
1998,10,76.34
1998,11,76.4
1998,12,76.58
1999,1,76.94
1999,2,78.6
1999,3,80.0
1999,4,79.24
1999,5,79.3
1999,6,78.25
1999,7,77.01
1999,8,75.97
1999,9,75.66
1999,10,75.78
1999,11,75.66
1999,12,76.12
2000,1,76.89
2000,2,78.34
2000,3,79.38
2000,4,80.38
2000,5,79.34
2000,6,78.76
2000,7,77.28
2000,8,76.56
2000,9,76.61
2000,10,76.54
2000,11,76.49
2000,12,76.94
2001,1,78.13
2001,2,79.32
2001,3,80.86
2001,4,80.94
2001,5,80.17
2001,6,79.27
2001,7,78.3
2001,8,77.34
2001,9,76.98
2001,10,76.92
2001,11,77.12
2001,12,77.6
2002,1,78.76
2002,2,80.26
2002,3,81.49
2002,4,81.75
2002,5,81.54
2002,6,80.63
2002,7,79.32
2002,8,78.36
2002,9,78.5
2002,10,78.99
2002,11,79.98
2002,12,80.32
2003,1,80.2
2003,2,81.06
2003,3,81.74
2003,4,80.83
2003,5,79.27
2003,6,79.04
2003,7,78.58
2003,8,77.98
2003,9,77.53
2003,10,78.33
2003,11,78.67
2003,12,79.24
2004,1,79.81
2004,2,80.66
2004,3,80.73
2004,4,81.26
2004,5,80.3
2004,6,79.36
2004,7,78.75
2004,8,77.97
2004,9,78.02
2004,10,78.56
2004,11,79.24
2004,12,79.35
2005,1,80.1
2005,2,80.36
2005,3,80.78
2005,4,81.24
2005,5,81.08
2005,6,79.82
2005,7,78.66
2005,8,77.63
2005,9,76.99
2005,10,76.99
2005,11,76.74
2005,12,77.12
2006,1,78.15
2006,2,79.8
2006,3,80.25
2006,4,80.37
2006,5,80.51
2006,6,79.85
2006,7,78.82
2006,8,78.6
2006,9,78.87
2006,10,79.29
2006,11,79.74
2006,12,80.35
2007,1,80.59
2007,2,80.7
2007,3,80.95
2007,4,80.96
2007,5,79.7
2007,6,79.17
2007,7,77.84
2007,8,76.52
2007,9,75.9
2007,10,75.52
2007,11,75.36
2007,12,76.17
2008,1,77.15
2008,2,78.63
2008,3,80.26
2008,4,80.53
2008,5,80.13
2008,6,79.34
2008,7,78.8
2008,8,78.2
2008,9,77.75
2008,10,77.66
2008,11,77.64
2008,12,77.32
2009,1,78.27
2009,2,79.41
2009,3,80.12
2009,4,81.3
2009,5,81.31
2009,6,80.72
2009,7,79.87
2009,8,79.01
2009,9,78.6
2009,10,78.89
2009,11,79.81
2009,12,80.64
2010,1,80.93
2010,2,81.43
2010,3,82.32
2010,4,82.44
2010,5,80.89
2010,6,79.33
2010,7,77.12
2010,8,75.83
2010,9,75.18
2010,10,75.14
2010,11,75.59
2010,12,76.27
2011,1,77.19
2011,2,78.92
2011,3,79.97
2011,4,80.43
2011,5,80.41
2011,6,79.6
2011,7,78.57
2011,8,77.28
2011,9,76.33
2011,10,76.26
2011,11,76.49
2011,12,76.83
2012,1,78.05
2012,2,79.58
2012,3,80.56
2012,4,81.19
2012,5,80.94
2012,6,80.66
2012,7,79.12
2012,8,78.45
2012,9,78.14
2012,10,77.76
2012,11,78.5
2012,12,77.73
2013,1,78.62
2013,2,79.81
2013,3,80.63
2013,4,80.84
2013,5,79.66
2013,6,78.38
2013,7,77.44
2013,8,76.66
2013,9,77.15
2013,10,77.3
2013,11,77.67
2013,12,78.23
2014,1,78.88
2014,2,79.08
2014,3,80.64
2014,4,81.47
2014,5,81.76
2014,6,81.15
2014,7,79.54
2014,8,78.47
2014,9,78.33
2014,10,78.5
2014,11,79.44
2014,12,79.35
2015,1,80.05
2015,2,80.97
2015,3,81.89
2015,4,82.97
2015,5,82.58
2015,6,82.16
2015,7,81.56
2015,8,80.46
2015,9,80.58
2015,10,81.11
2015,11,82.1
2015,12,82.24
2016,1,82.58
2016,2,83.24
2016,3,83.61
2016,4,82.62
2016,5,81.38
2016,6,80.22
2016,7,78.55
2016,8,77.52
2016,9,77.42
2016,10,77.14
2016,11,77.46
2016,12,78.32
2017,1,79.55
2017,2,81.04
2017,3,82.26
2017,4,82.14
2017,5,81.42
2017,6,80.26
2017,7,78.86
2017,8,77.64
2017,9,76.73
2017,10,76.75
2017,11,76.54
2017,12,76.79
2018,1,78.02
2018,2,79.3
2018,3,80.07
2018,4,80.53
2018,5,80.53
2018,6,79.81
2018,7,78.9
2018,8,78.07
2018,9,77.95
2018,10,78.88
2018,11,79.55
2018,12,80.08
2019,1,80.62
2019,2,81.61
2019,3,82.56
2019,4,82.43
2019,5,81.8
2019,6,80.63
2019,7,78.98
2019,8,77.84
2019,9,77.3
2019,10,77.9
2019,11,78.68
2019,12,79.27
2020,1,79.98
2020,2,80.95
2020,3,81.96
2020,4,82.06
2020,5,80.56
2020,6,79.17
2020,7,78.02
2020,8,76.87
2020,9,76.28
2020,10,76.06
2020,11,76.41
2020,12,76.91
2021,1,77.82
2021,2,78.93
2021,3,80.32
2021,4,80.14
2021,5,80.07
2021,6,79.8
2021,7,78.63
2021,8,77.5
2021,9,77.15
2021,10,76.65
2021,11,76.64
2021,12,76.39
2022,1,77.92
2022,2,78.74
2022,3,79.85
2022,4,79.53
2022,5,78.92
2022,6,78.39
2022,7,77.34
2022,8,76.4
2022,9,75.73
2022,10,75.54
2022,11,76.21
2022,12,77.24
2023,1,78.32
2023,2,80.11
2023,3,81.93
2023,4,82.85
2023,5,82.5
2023,6,82.28
2023,7,81.68
2023,8,81.13
2023,9,80.84
2023,10,80.92
2023,11,81.49
2023,12,81.52
2024,1,81.91
2024,2,82.6
2024,3,82.72
