id,lat,lon,Name,Count
0,45.52976024,-122.6966429,NW 22nd at LoveJoy,3350
52,45.52507854,-122.6775563,NW Broadway at Everett,4560
1,45.5229406,-122.6886019,,14
5,45.52247868,-122.6732969,SW 3rd at Ankeny,9716
2,45.5216215,-122.6824147,,58
84,45.52196048,-122.6896772,SW Morrison at 18th,8424
3,45.51928859,-122.6792488,SW Morrison at Pioneer Courthouse Sq.,6381
78,45.53080401,-122.6844227,NW 13th at Marshall,10997
4,45.531477,-122.6844821,,275
127,45.5360712,-122.6852715,,1558
87,45.52175423,-122.6810794,SW 10th at Stark,6885
6,45.50971347,-122.6777159,SW Harrison at 1st,2833
34,45.49913657,-122.6716433,SW Moody at Aerial Tram Terminal,12135
7,45.5230037,-122.6658179,,59
219,45.5171999,-122.6772947,,147
9,45.52373453,-122.6372065,NE 28th at Couch - Community Corral,1780
22,45.51222277,-122.6454261,SE Hawthorne at 20th,3031
10,45.5193178,-122.636005,,41
146,45.51202353,-122.6363119,SE 29th at Hawthorne,2024
11,45.514975,-122.623157,SE Taylor at Chavez,1797
124,45.50512504,-122.6533681,SE Elliott at Division,4414
12,45.5211726,-122.6763654,SW 5th at Oak,7415
270,45.5123205,-122.6789108,SW Market at Keller Fountain Park,4090
13,45.52487653,-122.6965141,NW Everett at 22nd,7549
16,45.52269855,-122.6587513,SE 7th at Burnside,5245
14,45.55905507,-122.6427104,NE Alberta at 22nd - Community Corral,833
15,45.54828551,-122.6508106,NE Fremont at 15th - Community Corral,825
321,45.5590859,-122.6468005,,71
100,45.52389222,-122.6721825,NW Couch at 2nd,3150
17,45.51592353,-122.6833123,SW Park at Portland Art Museum,3943
18,45.51633325,-122.6566324,SE 9th at Belmont,5057
180,45.513661,-122.6587152,,56
19,45.50356665,-122.6395279,SE Clinton at 26th,2615
175,45.53027884,-122.654669,NE 11th at Holladay Park,2864
20,45.5193416,-122.6516153,,114
510,45.4960484,-122.6396204,,141
21,45.5286366,-122.6820195,NW Johnson at Jamison Square,8849
282,45.51609691,-122.6790771,SW 5th at Main,4446
23,45.52331306,-122.6932633,NW 20th at Burnside,5264
69,45.53409115,-122.6949424,NW Raleigh at 21st,6836
24,45.52286956,-122.6789859,SW Park at W Burnside,5183
986,45.520955,-122.6827754,,86
25,45.5356655,-122.6897069,,73
254,45.5230283,-122.6784644,,594
26,45.5590949,-122.6682902,,70
135,45.55522233,-122.6818612,N Prescott at Interstate,1566
27,45.5265471,-122.6812493,,76
28,45.52358836,-122.6619177,NE Couch at MLK,1154
167,45.52374151,-122.6818129,NW Couch at 11th,10383
29,45.5279666,-122.6813021,,108
97,45.53083126,-122.6815957,NW Marshall at Tanner Springs Park,6227
30,45.5293888,-122.6813526,,616
31,45.5282777,-122.6766282,NW Station at Irving,4542
85,45.52634601,-122.6941484,NW Glisan at 21st,5996
32,45.52556242,-122.6892561,NW 18th at Flanders,4815
177,45.52440674,-122.6497686,NE Sandy at 16th,3286
93,45.52297292,-122.6434118,NE 22nd at Burnside,3349
35,45.50910258,-122.6735169,SW River at Montgomery,11282
158,45.51556831,-122.6738924,SW Salmon at Waterfront Park,18302
36,45.5142926,-122.6863885,,666
